Model,MAE,RMSE,R²,Directional_Accuracy
KNN,0.01387697619939151,0.022034782992936108,-0.04933613041492424,0.5464127347051895
XGBoost,0.04149606937438881,1.3807469974953448,-4119.266299341028,0.5170356128317051
Random Forest,0.027001295026489954,0.5700670200943364,-701.3424275376551,0.5059152636319546
Ridge Regression,0.013468331042438839,0.021572282795599466,-0.005748239181750492,0.5013250883392226
LSTM,0.01334594624593186,0.02149789865787789,0.0014431752955759158,0.49978336972721915
